ticker,company_name,sector,theme_id,theme_label,prior_year,year,prior_rate_per_10k_words,rate_per_10k_words,change_per_10k_words,absolute_change_per_10k_words
META,Meta Platforms,Technology,diversity_equity_and_inclusion,"Diversity, equity, and inclusion",2016,2017,17.768359,31.487623,13.719263,13.719263
OXY,Occidental Petroleum,Energy,leadership_and_accountability,Leadership and accountability,2017,2018,28.672672,14.954784,-13.717888,13.717888
TSLA,Tesla,Consumer Discretionary,employees_and_workplace,Employees and workplace,2018,2019,9.96101,23.651146,13.690136,13.690136
LLY,Eli Lilly,Healthcare,shareholders_and_performance,Shareholders and performance,2018,2019,47.515544,61.189483,13.673939,13.673939
INTC,Intel,Technology,diversity_equity_and_inclusion,"Diversity, equity, and inclusion",2018,2019,26.905316,40.573078,13.667762,13.667762
META,Meta Platforms,Technology,leadership_and_accountability,Leadership and accountability,2016,2017,8.23213,21.773356,13.541226,13.541226
GS,Goldman Sachs,Financials,leadership_and_accountability,Leadership and accountability,2020,2021,40.454911,26.923622,-13.531289,13.531289
JPM,JPMorgan Chase,Financials,employees_and_workplace,Employees and workplace,2022,2023,43.872108,30.37823,-13.493878,13.493878
OXY,Occidental Petroleum,Energy,diversity_equity_and_inclusion,"Diversity, equity, and inclusion",2019,2020,23.974096,10.505994,-13.468102,13.468102
SBUX,Starbucks,Consumer Discretionary,diversity_equity_and_inclusion,"Diversity, equity, and inclusion",2017,2018,22.545655,35.867532,13.321877,13.321877
TSLA,Tesla,Consumer Discretionary,employees_and_workplace,Employees and workplace,2022,2023,33.967274,20.646937,-13.320337,13.320337
JNJ,Johnson & Johnson,Healthcare,health_safety_and_wellbeing,"Health, safety, and wellbeing",2020,2021,21.009653,34.262259,13.252606,13.252606
JNJ,Johnson & Johnson,Healthcare,shareholders_and_performance,Shareholders and performance,2018,2019,53.290515,40.039411,-13.251104,13.251104
CRM,Salesforce,Technology,diversity_equity_and_inclusion,"Diversity, equity, and inclusion",2016,2017,36.146514,22.945167,-13.201347,13.201347
AMZN,Amazon,Consumer Discretionary,shareholders_and_performance,Shareholders and performance,2022,2023,59.825813,72.868236,13.042423,13.042423
MS,Morgan Stanley,Financials,environment_and_sustainability,Environment and sustainability,2022,2023,20.418695,33.45223,13.033534,13.033534
WFC,Wells Fargo,Financials,customers_and_service,Customers and service,2016,2017,21.290666,34.214236,12.92357,12.92357
BRK.B,Berkshire Hathaway,Financials,environment_and_sustainability,Environment and sustainability,2021,2022,26.490066,39.405881,12.915814,12.915814
SBUX,Starbucks,Consumer Discretionary,shareholders_and_performance,Shareholders and performance,2022,2023,42.074769,54.89031,12.815541,12.815541
AAPL,Apple,Technology,environment_and_sustainability,Environment and sustainability,2019,2020,3.962251,16.753282,12.791032,12.791032
AAPL,Apple,Technology,employees_and_workplace,Employees and workplace,2022,2023,44.250896,31.460378,-12.790518,12.790518
NVDA,NVIDIA,Technology,leadership_and_accountability,Leadership and accountability,2022,2023,14.899387,27.68494,12.785553,12.785553
OXY,Occidental Petroleum,Energy,leadership_and_accountability,Leadership and accountability,2018,2019,14.954784,27.710318,12.755534,12.755534
MPC,Marathon Petroleum,Energy,employees_and_workplace,Employees and workplace,2016,2017,23.753764,36.412472,12.658708,12.658708
LOW,Lowe's,Consumer Discretionary,diversity_equity_and_inclusion,"Diversity, equity, and inclusion",2020,2021,11.167328,23.816681,12.649353,12.649353
BMY,Bristol-Myers Squibb,Healthcare,shareholders_and_performance,Shareholders and performance,2023,2024,55.780492,43.201709,-12.578784,12.578784
CVX,Chevron,Energy,environment_and_sustainability,Environment and sustainability,2020,2021,35.705177,48.277814,12.572637,12.572637
WFC,Wells Fargo,Financials,shareholders_and_performance,Shareholders and performance,2019,2020,27.445482,39.954112,12.50863,12.50863
GOOGL,Alphabet,Technology,environment_and_sustainability,Environment and sustainability,2022,2023,32.013822,19.542783,-12.471039,12.471039
GS,Goldman Sachs,Financials,leadership_and_accountability,Leadership and accountability,2021,2022,26.923622,39.36552,12.441898,12.441898
MPC,Marathon Petroleum,Energy,environment_and_sustainability,Environment and sustainability,2019,2020,10.509031,22.945488,12.436457,12.436457
META,Meta Platforms,Technology,diversity_equity_and_inclusion,"Diversity, equity, and inclusion",2018,2019,27.509012,39.922152,12.41314,12.41314
LLY,Eli Lilly,Healthcare,employees_and_workplace,Employees and workplace,2020,2021,30.309784,42.695052,12.385268,12.385268
CVX,Chevron,Energy,environment_and_sustainability,Environment and sustainability,2023,2024,58.675844,46.298371,-12.377474,12.377474
GS,Goldman Sachs,Financials,shareholders_and_performance,Shareholders and performance,2020,2021,86.689096,74.329808,-12.359288,12.359288
MS,Morgan Stanley,Financials,environment_and_sustainability,Environment and sustainability,2021,2022,8.089549,20.418695,12.329146,12.329146
HD,Home Depot,Consumer Discretionary,diversity_equity_and_inclusion,"Diversity, equity, and inclusion",2020,2021,40.420537,28.117799,-12.302738,12.302738
JNJ,Johnson & Johnson,Healthcare,shareholders_and_performance,Shareholders and performance,2019,2020,40.039411,52.325927,12.286517,12.286517
TGT,Target,Consumer Discretionary,environment_and_sustainability,Environment and sustainability,2021,2022,6.251869,18.518988,12.26712,12.26712
MSFT,Microsoft,Technology,leadership_and_accountability,Leadership and accountability,2018,2019,40.702038,28.43527,-12.266768,12.266768
MS,Morgan Stanley,Financials,employees_and_workplace,Employees and workplace,2023,2024,27.406646,39.667325,12.260679,12.260679
PFE,Pfizer,Healthcare,shareholders_and_performance,Shareholders and performance,2019,2020,49.656533,61.912405,12.255873,12.255873
TMO,Thermo Fisher Scientific,Healthcare,employees_and_workplace,Employees and workplace,2022,2023,23.685239,35.912399,12.22716,12.22716
BAC,Bank of America,Financials,shareholders_and_performance,Shareholders and performance,2020,2021,72.347133,60.120711,-12.226422,12.226422
WFC,Wells Fargo,Financials,diversity_equity_and_inclusion,"Diversity, equity, and inclusion",2022,2023,41.194645,29.001479,-12.193166,12.193166
ABT,Abbott Laboratories,Healthcare,shareholders_and_performance,Shareholders and performance,2017,2018,45.81185,57.994802,12.182952,12.182952
NKE,Nike,Consumer Discretionary,environment_and_sustainability,Environment and sustainability,2020,2021,7.447865,19.624834,12.176969,12.176969
