ticker,year,collection_status,sec_archive_url,raw_file_path,raw_file_bytes,raw_content_sha256,gap_reason
AVGO,2022,collected,https://www.sec.gov/Archives/edgar/data/1730168/000173016822000012/a2022proxystatement.htm,part2_lived_values/data/raw/filings/avgo_2022_000173016822000012.htm,1020555,c91157e543c7fa944eedd4a0c15373f7927d72b2402850564e262b031fe4384b,
AVGO,2023,collected,https://www.sec.gov/Archives/edgar/data/1730168/000114036123007640/ny20006245x500_def14a.htm,part2_lived_values/data/raw/filings/avgo_2023_000114036123007640.htm,1192928,a3277c756b837b00bf3a3d26ed39aa3a8b85d1cadcac91ab41279dd997b182fe,
AVGO,2024,collected,https://www.sec.gov/Archives/edgar/data/1730168/000114036124009541/ny20015852x1_def14a.htm,part2_lived_values/data/raw/filings/avgo_2024_000114036124009541.htm,1809909,fe465e96b696b5aef87694d58ea2e6a609f83b498b1b80484eb1cf5f2b928382,
CRM,2016,collected,https://www.sec.gov/Archives/edgar/data/1108524/000119312516550325/d27574ddef14a.htm,part2_lived_values/data/raw/filings/crm_2016_000119312516550325.htm,928442,576c19b4f99533665a97b61ae0d27fd0d38036d0bc87c30832c673f7e316aa56,
CRM,2017,collected,https://www.sec.gov/Archives/edgar/data/1108524/000119312517139646/d333785ddef14a.htm,part2_lived_values/data/raw/filings/crm_2017_000119312517139646.htm,1477591,fa4bd42f4bf02863495beadfe6b42cefb696cce590d0715e655d1b42f9826ffa,
CRM,2018,collected,https://www.sec.gov/Archives/edgar/data/1108524/000119312518148743/d491144ddef14a.htm,part2_lived_values/data/raw/filings/crm_2018_000119312518148743.htm,1621785,b6c1f16b891389a930dabb852678063afa246424c5b1fc17a81050942fef5247,
CRM,2019,collected,https://www.sec.gov/Archives/edgar/data/1108524/000119312519119702/d664082ddef14a.htm,part2_lived_values/data/raw/filings/crm_2019_000119312519119702.htm,1835516,96946fda364f6ab619da2a566c7cb75fb4711ad411f4da2e3f4231ac8f42fb1d,
CRM,2020,collected,https://www.sec.gov/Archives/edgar/data/1108524/000119312520131040/d861721ddef14a.htm,part2_lived_values/data/raw/filings/crm_2020_000119312520131040.htm,2255366,cbcb6f61cfc4a2eedbbb0c82ea84ca344bee72749bf96015a52b9558aaf0b99b,
CRM,2021,collected,https://www.sec.gov/Archives/edgar/data/1108524/000119312521140350/d80344ddef14a.htm,part2_lived_values/data/raw/filings/crm_2021_000119312521140350.htm,1960520,aa66525b3ff7ca66f8b163c1d5d5bbc92658cc6fe6bffa5031c4cfe0fbf038d6,
CRM,2022,collected,https://www.sec.gov/Archives/edgar/data/1108524/000119312522127612/d301179ddef14a.htm,part2_lived_values/data/raw/filings/crm_2022_000119312522127612.htm,2219303,cbf5c163f5435d2a6991b1470cb7a6d92ee0656e20c25f9e022ad1cb80585f6e,
