ticker,cik,company_name,year,form,filing_date,report_date,accession_number,primary_document,source_url,sec_archive_url
ORCL,0001341439,Oracle,2021,DEF 14A,2021-09-24,2021-11-10,0001193125-21-282422,d162163ddef14a.htm,https://data.sec.gov/submissions/CIK0001341439.json,https://www.sec.gov/Archives/edgar/data/1341439/000119312521282422/d162163ddef14a.htm
ORCL,0001341439,Oracle,2022,DEF 14A,2022-09-23,2022-11-16,0001193125-22-250158,d357923ddef14a.htm,https://data.sec.gov/submissions/CIK0001341439.json,https://www.sec.gov/Archives/edgar/data/1341439/000119312522250158/d357923ddef14a.htm
ORCL,0001341439,Oracle,2023,DEF 14A,2023-09-22,2023-11-15,0001193125-23-240594,d744477ddef14a.htm,https://data.sec.gov/submissions/CIK0001341439.json,https://www.sec.gov/Archives/edgar/data/1341439/000119312523240594/d744477ddef14a.htm
ORCL,0001341439,Oracle,2024,DEF 14A,2024-09-25,2024-11-14,0001193125-24-226139,d860928ddef14a.htm,https://data.sec.gov/submissions/CIK0001341439.json,https://www.sec.gov/Archives/edgar/data/1341439/000119312524226139/d860928ddef14a.htm
IBM,0000051143,IBM,2016,DEF 14A,2016-03-07,2016-04-26,0001104659-16-102981,a16-2282_1def14a.htm,https://data.sec.gov/submissions/CIK0000051143.json,https://www.sec.gov/Archives/edgar/data/51143/000110465916102981/a16-2282_1def14a.htm
IBM,0000051143,IBM,2017,DEF 14A,2017-03-13,2017-04-25,0001104659-17-016116,a17-2254_1def14a.htm,https://data.sec.gov/submissions/CIK0000051143.json,https://www.sec.gov/Archives/edgar/data/51143/000110465917016116/a17-2254_1def14a.htm
IBM,0000051143,IBM,2018,DEF 14A,2018-03-12,2018-04-24,0001104659-18-016710,a18-2910_1def14a.htm,https://data.sec.gov/submissions/CIK0000051143.json,https://www.sec.gov/Archives/edgar/data/51143/000110465918016710/a18-2910_1def14a.htm
IBM,0000051143,IBM,2019,DEF 14A,2019-03-11,2019-04-30,0001104659-19-013856,a19-2536_1def14a.htm,https://data.sec.gov/submissions/CIK0000051143.json,https://www.sec.gov/Archives/edgar/data/51143/000110465919013856/a19-2536_1def14a.htm
IBM,0000051143,IBM,2020,DEF 14A,2020-03-09,2020-04-28,0001193125-20-067199,d845103ddef14a.htm,https://data.sec.gov/submissions/CIK0000051143.json,https://www.sec.gov/Archives/edgar/data/51143/000119312520067199/d845103ddef14a.htm
IBM,0000051143,IBM,2021,DEF 14A,2021-03-08,2021-04-27,0001193125-21-073223,d46027ddef14a.htm,https://data.sec.gov/submissions/CIK0000051143.json,https://www.sec.gov/Archives/edgar/data/51143/000119312521073223/d46027ddef14a.htm
IBM,0000051143,IBM,2022,DEF 14A,2022-03-07,2022-04-26,0001104659-22-031075,tm2122634-2_def14a.htm,https://data.sec.gov/submissions/CIK0000051143.json,https://www.sec.gov/Archives/edgar/data/51143/000110465922031075/tm2122634-2_def14a.htm
IBM,0000051143,IBM,2023,DEF 14A,2023-03-06,,0001104659-23-029014,tm231774d2_def14a.htm,https://data.sec.gov/submissions/CIK0000051143.json,https://www.sec.gov/Archives/edgar/data/51143/000110465923029014/tm231774d2_def14a.htm
IBM,0000051143,IBM,2024,DEF 14A,2024-03-11,2024-04-30,0001104659-24-032641,tm2329614-d3_def14a.htm,https://data.sec.gov/submissions/CIK0000051143.json,https://www.sec.gov/Archives/edgar/data/51143/000110465924032641/tm2329614-d3_def14a.htm
INTC,0000050863,Intel,2016,DEF 14A,2016-04-04,2016-05-19,0001193125-16-528154,d286791ddef14a.htm,https://data.sec.gov/submissions/CIK0000050863.json,https://www.sec.gov/Archives/edgar/data/50863/000119312516528154/d286791ddef14a.htm
INTC,0000050863,Intel,2017,DEF 14A,2017-04-06,2017-05-18,0001193125-17-112133,d312067ddef14a.htm,https://data.sec.gov/submissions/CIK0000050863.json,https://www.sec.gov/Archives/edgar/data/50863/000119312517112133/d312067ddef14a.htm
INTC,0000050863,Intel,2018,DEF 14A,2018-04-05,2018-05-17,0001193125-18-107675,d498273ddef14a.htm,https://data.sec.gov/submissions/CIK0000050863.json,https://www.sec.gov/Archives/edgar/data/50863/000119312518107675/d498273ddef14a.htm
INTC,0000050863,Intel,2019,DEF 14A,2019-04-03,2019-05-16,0001193125-19-095785,d648184ddef14a.htm,https://data.sec.gov/submissions/CIK0000050863.json,https://www.sec.gov/Archives/edgar/data/50863/000119312519095785/d648184ddef14a.htm
INTC,0000050863,Intel,2020,DEF 14A,2020-03-31,2020-05-14,0001193125-20-091451,d835759ddef14a.htm,https://data.sec.gov/submissions/CIK0000050863.json,https://www.sec.gov/Archives/edgar/data/50863/000119312520091451/d835759ddef14a.htm
