ticker,year,collection_status,raw_content_sha256,text_path,clean_text_sha256,extraction_quality,word_count,sentence_count,gap_reason
LLY,2020,collected,d7366fc3e78b0d3630110afc48784ef1bba1d2c58ec4d745f328b8f61f8e1ed2,part2_lived_values/data/processed/text/lly_2020_000005947820000080.txt,c2c5df822215c2b952a71a5ce7514772125b9d0cf5b073dba1d3b87daedfaac4,usable,44870,4698,
LLY,2021,collected,274f3062bf052025a11f5a023d20df2d4b0afb0a23e992e56fa3b0ebb125f013,part2_lived_values/data/processed/text/lly_2021_000005947821000104.txt,b3db7a548daac7d4b7baa6a87fc36d29bbf2d86db39a21b234d3ad7e8533bc0b,usable,51294,3754,
LLY,2022,collected,54b369fde412e1ad10ddd2f4fa007fdd5a71ebce9d1d7e5baeea5f217422043f,part2_lived_values/data/processed/text/lly_2022_000005947822000099.txt,f988b24316ce2c9f8ff0c940ddf7215151f357b724192948cbcd210350e5940b,usable,57460,3852,
LLY,2023,collected,5d4972ac0d0c227ec7bc976b9d1a05e34e9a26f67df7db7e224d590d6c741e02,part2_lived_values/data/processed/text/lly_2023_000005947823000120.txt,32cbd795d7225f7c3fe9a1fe1ccff641aed0641d7da42ab3ce1d7693419f2f35,usable,61758,4460,
LLY,2024,collected,0d24c563387a01147e6a3f261d7af3f1641e43ece22c1a5657e739d050003a6e,part2_lived_values/data/processed/text/lly_2024_000005947824000099.txt,8a560dc717d7842db8800c4d3418ff7ec5bc254eaf18ef5859a171e7d6f1a874,usable,55257,4052,
UNH,2016,collected,9d7370b89c85b4f7922f4236f86c03cc78804e180d55e5e94db8683fe9170485,part2_lived_values/data/processed/text/unh_2016_000104746916012475.txt,7af488eae76731af1ec3b630264badc198f8068220c887cf068ad254eaf10561,usable,40110,13498,
UNH,2017,collected,cc4b4d2e27399be6893f9b8374de55963296e967d50c89f6f01dc2a2bd7acbff,part2_lived_values/data/processed/text/unh_2017_000104746917002810.txt,8f750d9c14415cdbbfbc33c732bba34df552ed9c979513e7c77b9ba83c94addf,usable,42813,14345,
UNH,2018,collected,d0dd0e198cb860f9b259886c96bc5ec7b65ad333dc8133067cae4001d85a797f,part2_lived_values/data/processed/text/unh_2018_000104746918002993.txt,578ab017649e58d87da3d7b6f24d3fc3816094811399cee68a2cc1f49643d0ef,usable,42464,14323,
UNH,2019,collected,dfc97bab905d7f7f1beaeb5bf66df4a65905b9293e8bdc3ed265d288d7cf76e8,part2_lived_values/data/processed/text/unh_2019_000104746919002425.txt,6b3f41bc462bdc89e2aba19ca46930f3c7199b57370f0f4aaaaac3a20c78f5df,usable,42152,14074,
UNH,2020,collected,a2fc8528b2602a54682dbf7d2239c9de9ed2a674a9c953b0372c84f03c787a06,part2_lived_values/data/processed/text/unh_2020_000104746920002403.txt,c6489433799218a8115ddee271a57892757df5bf642bb84c719cdd10931a3f27,usable,56184,16576,
UNH,2021,collected,955c7e8b219422385cff6c7057c6cbe3d7b1b5819725c02a0420c1e0d4b69453,part2_lived_values/data/processed/text/unh_2021_000104746921001031.txt,2a7604bd2b6666c176ecea02ac14060812237ac5254669f4a1a17c2aa2a1cd73,usable,49908,15095,
UNH,2022,collected,2d671f52d5a37156afd7a6edc471c452afc2a777b779d89ddffe05f2ac1c3755,part2_lived_values/data/processed/text/unh_2022_000110465922048923.txt,12ca46dbcbc4d1d4e453db6d11745e0d38d58097410dd8a8549a8b80323217da,usable,43244,7532,
UNH,2023,collected,f7572f9817879b20a299e5823aec8b4346901d494ac493ba011cfcc6fdfc4942,part2_lived_values/data/processed/text/unh_2023_000110465923048439.txt,54541984e8646e8cb61394a7b034c2263506242c98fbce470bd252e9f91a3a46,usable,47935,8449,
UNH,2024,collected,ecebbb3c65c8f0c69427fb5fcb4fd9d37f7f0bfdf5ab18c90fed19e2113881ae,part2_lived_values/data/processed/text/unh_2024_000110465924050055.txt,68689be1b79d69ec4f43fc2087694aaec55a35bc44087d34acfe854059ccec06,usable,43766,10061,
JNJ,2016,collected,7f35e332b29f28df2f6cdb460ce6a1975b7e6e07baf3ce254d5d55efe907a070,part2_lived_values/data/processed/text/jnj_2016_000119312516505952.txt,c052baa632aef90c80cb219d6c2d924ec23c04dc7be2af33975526ea56ecc606,usable,43972,5347,
JNJ,2017,collected,5a1d8366ac551b1b94e23d9aa1d3d77ae07ce62d246f455db21246760c9f649b,part2_lived_values/data/processed/text/jnj_2017_000020040617000015.txt,74f448317f27c5a708f1e64eaf0fe08ed941804c8075f302d9ae9ae7efebc10a,usable,55221,6912,
JNJ,2018,collected,d0d85f70081ced4146017c86a422eddcab16619cd317e3c49abcc8fb2cd01571,part2_lived_values/data/processed/text/jnj_2018_000020040618000009.txt,4399519568cddfff543b6fc9d6f640a06aa0b36d263a931403a3d0579efceadd,usable,42972,6816,
JNJ,2019,collected,7c403a29b533e54b684c4d8c966340a99d3656fc132bbee63085b7374db4c5f4,part2_lived_values/data/processed/text/jnj_2019_000020040619000013.txt,104fd1cc7d76a72405b9d5868a8da94125c028fe10d41e6ae159c7eb5dd64eaf,usable,47703,7856,
JNJ,2020,collected,e0aee7b8e83b5f03eea8cff2ca2bfc5e0996d41bd7118f0d292b2e2cdfc7384f,part2_lived_values/data/processed/text/jnj_2020_000020040620000018.txt,9c4f368196bcb6eaa638e9c8a3c0418e80bfc11707111b4b609f0fee95c62277,usable,50453,7486,
JNJ,2021,collected,1ef6eb984058af76a0d149cf8f92711d27778e8b4a5d52984d9289300fa88dc4,part2_lived_values/data/processed/text/jnj_2021_000020040621000011.txt,b21faa974e2d71e4bb29e7289f480346ee10076588c8055f2ad7122d048e9533,usable,58957,5141,
JNJ,2022,collected,6a9a529624eef6b153bb3fe938594f5003b1e928ad816b485bb457e435e8ac6b,part2_lived_values/data/processed/text/jnj_2022_000020040622000026.txt,40047eef6d90b870a9732ee98ae0d5bc7198b6256d1ed8e0135acfd8842c51d6,usable,95961,6867,
JNJ,2023,collected,283a48def8e89620c5285276edadec03462a84825876150675c4be936aedb564,part2_lived_values/data/processed/text/jnj_2023_000020040623000023.txt,7ffed8854455ca57c640f60256c84e9e2000c08b082b10a9b54c15ca97082b06,usable,61109,5287,
JNJ,2024,collected,a0f25a307f00ad602b0c273abc869169b17602de16e6326d2c1eef7a916212ea,part2_lived_values/data/processed/text/jnj_2024_000020040624000024.txt,84a1625fec382332d15eea0d0dfd4b81d0406db0016c64828b13b5463d6621e0,usable,53540,5521,
ABBV,2016,collected,2bcc8c0f324dcd9175080a9e261be36e8d402e33d366ac265579ba17afa5d094,part2_lived_values/data/processed/text/abbv_2016_000104746916011386.txt,763640cac6e42946e1bb1f745ac88053ab1ed9cd26b16d994facff4b7beb7643,usable,35548,4784,
ABBV,2017,collected,58e147b4e287e3e9056bdf3d2fea16b9359abcfd3ebc96782c05fa7e3dba2500,part2_lived_values/data/processed/text/abbv_2017_000104746917001778.txt,ffb92197d5ee6ac0318b93fef9b14a63db2f7ceaf18eccfbf5b340201efc2559,usable,36274,5236,
ABBV,2018,collected,eee936ecffa9227025613cf48077bd0325c970c94f8bede534ec91e1a348143a,part2_lived_values/data/processed/text/abbv_2018_000104746918001843.txt,6d0eada6ba0718c81cdeff60476f0b365981908cf17b16d7c77ba2da1de122ae,usable,39427,5644,
ABBV,2019,collected,092d11c0eb6140a668e43d229345b10e26a357f140278592fa0501c97e2ff23c,part2_lived_values/data/processed/text/abbv_2019_000104746919001544.txt,666cd5984980d4c5ab5a3640982f0164476e693c41cc63334c32d9e89d0ff984,usable,38813,5742,
ABBV,2020,collected,c69b22d65c322d01c47278d033e4d410617cec0dd2e32dbf05204720b54219aa,part2_lived_values/data/processed/text/abbv_2020_000104746920001710.txt,742aed8ff276c0d2e5d5905f177e907e81ac534ef6a7cd193f2e6051d9846a81,usable,39003,5815,
ABBV,2021,collected,f94102cf3254239f0c0cc1026fee615dd6b42edb95cae4a5b3eba567b1b85890,part2_lived_values/data/processed/text/abbv_2021_000155837021003318.txt,d8526bee974eaa927880c146d10d08b86827c212cde3ee2d698193a9bb2c3f3b,usable,65837,10315,
ABBV,2022,collected,2c8ec3e38c4a5becfce19315c75517cb8a31f10d5b7c09f404d847e0f59f73cb,part2_lived_values/data/processed/text/abbv_2022_000155837022004011.txt,9e3a002d8dc27ea568e3935a30176089b68c939f859dc2b3efb49e9600bd8c3f,usable,43081,9429,
ABBV,2023,collected,a8c398646a768f90179894c4811f30a5cff57e8dda1fcdfee684b3e70af594c2,part2_lived_values/data/processed/text/abbv_2023_000155837023004204.txt,d1dbc4f3ad8df17d69dbee88d3895b48cb591fb4e778773b0b162f7c2fef3204,usable,47796,11935,
ABBV,2024,collected,e6c4cd34e3416ffcd36e9e768bc049d8c6943fc330050011b55b384417c73e67,part2_lived_values/data/processed/text/abbv_2024_000155837024003496.txt,72003cebbfd12c3dc2bd72ba7cdac2d673ad813f8841f494ed9959c7ba35fee8,usable,49063,11308,
MRK,2016,collected,5a61fcdb07d776ac2662c672117e6fb97d7c92f6467206ab06f667723e0f029a,part2_lived_values/data/processed/text/mrk_2016_000130817916000336.txt,818573eb5dd9326f9e594ada7e4089a1653142e2711e1369c6d43ae9c8ff2dd2,usable,44780,5052,
MRK,2017,collected,7471aaf4fc9067c176bf58300352543dcbf9f2d95f6dde01bbb8d2ca92b46ad9,part2_lived_values/data/processed/text/mrk_2017_000130817917000129.txt,ebcc194bf60ec061e2d16b5fd8f9870099bf02bbeeddb34cc14ad71e791153d0,usable,46895,5264,
MRK,2018,collected,df458efbc0664c32513b92baf9d089f152b766cc5716b9bc3a9d6b419a5135f9,part2_lived_values/data/processed/text/mrk_2018_000130817918000164.txt,78760e535c1160b7b58420081e077e3dbc61efcbd4759b0f5526af96e3451f3f,usable,42455,5221,
MRK,2019,collected,de2521b05f19cf9b641fbffd35039e1a61ae52e64661843f639ba07d9ded3819,part2_lived_values/data/processed/text/mrk_2019_000114036119006720.txt,a80932f4e47cec2a7fbcfeaea4d2e5e297e74234860f8093b2c88899d6b02004,usable,58416,6022,
MRK,2020,collected,7171e322ba00401b85a5552915d97e4d7faa6dd8b035dbf6f49a0acba1119879,part2_lived_values/data/processed/text/mrk_2020_000119312520099563.txt,1496b1c6b988334fef1086fe7a4d5ba306f8bce3402f8f2c3e41b0b8fb5256e6,usable,43590,5706,
MRK,2021,collected,c190efb604831fda62f2b817da27f9222b225d6542af6c7740d3c526124c28b3,part2_lived_values/data/processed/text/mrk_2021_000119312521106317.txt,9514262f80e8e9fabcb0e8ab61ac1e93e8ab4ec8ef68acf507c3be366555e93e,usable,45323,6257,
MRK,2022,collected,bc64f1a336a08855f67ab6e8226aec99bc9fdf5722a4bec909b244bf93ca879a,part2_lived_values/data/processed/text/mrk_2022_000119312522095134.txt,efb272df09ffe401285b49920ef81f942dc755aa11d62cac66889550466ba6f0,usable,50475,6920,
MRK,2023,collected,7fe921d307ace8ac71eeb0fae84570b19323c3784862c116789d9db0bb92d718,part2_lived_values/data/processed/text/mrk_2023_000119312523089525.txt,7c15b9c0b2bf3595bd78a6415bf0ae86dc2c0ff79ec80edad594eaf54cd300c8,usable,59715,6213,
MRK,2024,collected,4f19d34f575e1a0c4de5ac07f81a3b1405d001c0963a09d05ceffaa88e0688f7,part2_lived_values/data/processed/text/mrk_2024_000119312524093204.txt,046183b414e84b87c610395453c77a9bee5fb0071dd9d2e1d7b3c9e7ec9f88dd,usable,53446,5977,
TMO,2016,collected,c1e41a1169a0236c3fdbd2b3255ba519aaa74dbbe4636fc48228eca9fe0513d8,part2_lived_values/data/processed/text/tmo_2016_000119312516530108.txt,8abf452c38e61e9ce823a97149bb694879410f62d3f3dca80628339cd631fafa,usable,35265,3715,
TMO,2017,collected,18a5fd52a0f391dc45b70d2a4b7e72fe192dca0a7a6c9921f886de845eb364c8,part2_lived_values/data/processed/text/tmo_2017_000009774517000014.txt,0f036f30f72b49be030ef356be2b52b8ae4484271db7bc10d9467cda79dcec04,usable,32499,4649,
TMO,2018,collected,4da9585e7b506b3ad0f3a7c8bb644421cca3b3c0044a2efcc7197b90886a1a05,part2_lived_values/data/processed/text/tmo_2018_000009774518000011.txt,780ca00ac34415c7331090ee6be8a4624589c6a4e67c4c0d297411b139e62466,usable,34235,4911,
TMO,2019,collected,af22af35e11a9b544ecd90f755ec3a16811d39fbdbf25135a29a55ddfd323f80,part2_lived_values/data/processed/text/tmo_2019_000119312519101242.txt,4cde07cea0aa236dca28404fb2e2fc91e076ffbe8b3984abb47e2cbea9bcf624,usable,41699,5958,
TMO,2020,collected,88297c79c32bbfcdd9f8c2f3d7fb1d239f99bc54f57d14dcb3767907c44c5d8e,part2_lived_values/data/processed/text/tmo_2020_000114036120008182.txt,a5160fe4c534489f6d4784e978652032be966e1f52fd3ff27ef7afc981ea973b,usable,43065,6560,
TMO,2021,collected,f7d9e1f7c1920ae705f2c464d0029b332547e1b4e2ae3456e1add3a128ab11ac,part2_lived_values/data/processed/text/tmo_2021_000009774521000019.txt,0863aee4029b6122fe23cb9149dc7c7585c1b09a56a1d4e4ff8b6f810ba2a967,usable,46360,4513,
