discovery_source,ticker,year,domain,query_url,homepage_url,query_status,capture_count,selected_capture_timestamp,selected_original_url,selected_replay_url,fetched,discovered_link_count,candidate_urls,error
,CRM,2018,salesforce.com,,http://www.salesforce.com/,failed,0,,,,False,0,,ConnectError: [Errno 61] Connection refused
,CRM,2019,salesforce.com,,https://salesforce.com/,failed,0,,,,False,0,,ConnectError: [Errno 61] Connection refused
,CRM,2019,salesforce.com,,https://www.salesforce.com/,failed,0,,,,False,0,,ConnectError: [Errno 61] Connection refused
,CRM,2019,salesforce.com,,http://salesforce.com/,failed,0,,,,False,0,,ConnectError: [Errno 61] Connection refused
,CRM,2020,salesforce.com,,http://salesforce.com/,failed,0,,,,False,0,,ConnectError: [Errno 61] Connection refused
,CRM,2020,salesforce.com,,https://salesforce.com/,failed,0,,,,False,0,,ConnectError: [Errno 61] Connection refused
,CRM,2020,salesforce.com,,https://www.salesforce.com/,failed,0,,,,False,0,,ConnectError: [Errno 61] Connection refused
,CVX,2016,chevron.com,,https://chevron.com/,failed,0,,,,False,0,,ConnectError: [Errno 61] Connection refused
,CVX,2016,chevron.com,,https://www.chevron.com/,failed,0,,,,False,0,,ConnectError: [Errno 61] Connection refused
,CRM,2020,salesforce.com,,http://www.salesforce.com/,failed,0,,,,False,0,,ConnectError: [Errno 61] Connection refused
,CVX,2016,chevron.com,,http://www.chevron.com/,failed,0,,,,False,0,,ConnectError: [Errno 61] Connection refused
,CVX,2016,chevron.com,,http://chevron.com/,failed,0,,,,False,0,,ConnectError: [Errno 61] Connection refused
,CVX,2017,chevron.com,,https://chevron.com/,failed,0,,,,False,0,,ConnectError: [Errno 61] Connection refused
,CVX,2017,chevron.com,,http://chevron.com/,failed,0,,,,False,0,,ConnectError: [Errno 61] Connection refused
,CVX,2017,chevron.com,,http://www.chevron.com/,failed,0,,,,False,0,,ConnectError: [Errno 61] Connection refused
,CVX,2017,chevron.com,,https://www.chevron.com/,failed,0,,,,False,0,,ConnectError: [Errno 61] Connection refused
,CVX,2018,chevron.com,,https://www.chevron.com/,failed,0,,,,False,0,,ConnectError: [Errno 61] Connection refused
,CVX,2018,chevron.com,,https://chevron.com/,failed,0,,,,False,0,,ConnectError: [Errno 61] Connection refused
,CVX,2018,chevron.com,,http://chevron.com/,failed,0,,,,False,0,,ConnectError: [Errno 61] Connection refused
,CVX,2018,chevron.com,,http://www.chevron.com/,failed,0,,,,False,0,,ConnectError: [Errno 61] Connection refused
,CVX,2019,chevron.com,,https://www.chevron.com/,failed,0,,,,False,0,,ConnectError: [Errno 61] Connection refused
,CVX,2019,chevron.com,,https://chevron.com/,failed,0,,,,False,0,,ConnectError: [Errno 61] Connection refused
,CVX,2019,chevron.com,,http://chevron.com/,failed,0,,,,False,0,,ConnectError: [Errno 61] Connection refused
,CVX,2019,chevron.com,,http://www.chevron.com/,failed,0,,,,False,0,,ConnectError: [Errno 61] Connection refused
,CVX,2020,chevron.com,,https://chevron.com/,failed,0,,,,False,0,,ConnectError: [Errno 61] Connection refused
,CVX,2020,chevron.com,,http://www.chevron.com/,failed,0,,,,False,0,,ConnectError: [Errno 61] Connection refused
