ticker,company_name,sector,prior_year,year,doc_id_prior,doc_id_current,cosine_similarity,semantic_distance
EOG,EOG Resources,Energy,2021,2022,EOG-2021,EOG-2022,0.95732617,0.04267383
ORCL,Oracle,Technology,2022,2023,ORCL-2022,ORCL-2023,0.95784366,0.04215634
SCHW,Charles Schwab,Financials,2022,2023,SCHW-2022,SCHW-2023,0.95802832,0.04197168
JNJ,Johnson & Johnson,Healthcare,2016,2017,JNJ-2016,JNJ-2017,0.9580425,0.0419575
LLY,Eli Lilly,Healthcare,2022,2023,LLY-2022,LLY-2023,0.95848811,0.04151189
HD,Home Depot,Consumer Discretionary,2022,2023,HD-2022,HD-2023,0.95852149,0.04147851
ABT,Abbott Laboratories,Healthcare,2023,2024,ABT-2023,ABT-2024,0.95857942,0.04142058
MCD,McDonald's,Consumer Discretionary,2016,2017,MCD-2016,MCD-2017,0.95946169,0.04053831
ORCL,Oracle,Technology,2023,2024,ORCL-2023,ORCL-2024,0.95985687,0.04014313
SBUX,Starbucks,Consumer Discretionary,2021,2022,SBUX-2021,SBUX-2022,0.96011722,0.03988278
SLB,SLB (Schlumberger),Energy,2016,2017,SLB-2016,SLB-2017,0.96063936,0.03936064
VLO,Valero Energy,Energy,2017,2018,VLO-2017,VLO-2018,0.96145672,0.03854328
F,Ford Motor,Consumer Discretionary,2018,2019,F-2018,F-2019,0.96161091,0.03838909
ABT,Abbott Laboratories,Healthcare,2022,2023,ABT-2022,ABT-2023,0.96175134,0.03824866
MRK,Merck,Healthcare,2018,2019,MRK-2018,MRK-2019,0.96233523,0.03766477
PSX,Phillips 66,Energy,2016,2017,PSX-2016,PSX-2017,0.96363211,0.03636789
F,Ford Motor,Consumer Discretionary,2019,2020,F-2019,F-2020,0.96399575,0.03600425
MRK,Merck,Healthcare,2022,2023,MRK-2022,MRK-2023,0.96413517,0.03586483
NVDA,NVIDIA,Technology,2021,2022,NVDA-2021,NVDA-2022,0.96604991,0.03395009
BRK.B,Berkshire Hathaway,Financials,2023,2024,BRK.B-2023,BRK.B-2024,0.96621329,0.03378671
MCD,McDonald's,Consumer Discretionary,2023,2024,MCD-2023,MCD-2024,0.96624267,0.03375733
COP,ConocoPhillips,Energy,2017,2018,COP-2017,COP-2018,0.96674097,0.03325903
PSX,Phillips 66,Energy,2020,2021,PSX-2020,PSX-2021,0.96754587,0.03245413
XOM,ExxonMobil,Energy,2022,2023,XOM-2022,XOM-2023,0.96927595,0.03072405
WFC,Wells Fargo,Financials,2022,2023,WFC-2022,WFC-2023,0.969284,0.030716
