doc_id,ticker,company_name,sector,year,accession_number,clean_text_sha256,dominant_topic_id,dominant_topic_score,nmf_topic_1_score,nmf_topic_2_score,nmf_topic_3_score,nmf_topic_4_score,nmf_topic_5_score,nmf_topic_6_score,nmf_topic_7_score,nmf_topic_8_score
ORCL-2024,ORCL,Oracle,Technology,2024,0001193125-24-226139,08871d6a0e64d70ebec8fcd1df4d831fc32b1ead6cb7e5f482c266f762e58e35,nmf_topic_3,0.16622995,0.0,0.0,0.16622995,0.12848718,0.0,0.0,0.00448786,0.0
IBM-2016,IBM,IBM,Technology,2016,0001104659-16-102981,6a3f886745ef70741273bf05a7c8d67819248b118aa9caa019438face74a4bdd,nmf_topic_1,0.10706437,0.10706437,0.03870194,0.04783706,0.0,0.00791324,0.02472966,0.01595688,0.01980952
IBM-2017,IBM,IBM,Technology,2017,0001104659-17-016116,b545ab051b52d557890b8db2bb1047ffb6837c5e1019ccee30cdd6045d84b63b,nmf_topic_1,0.09504128,0.09504128,0.03313528,0.06327332,0.0,0.00796216,0.0215792,0.01541442,0.02514893
IBM-2018,IBM,IBM,Technology,2018,0001104659-18-016710,679018c03c8b6e2c63df9660720629b400997cb5b7b992ce1c00faf9857f7e35,nmf_topic_1,0.10000204,0.10000204,0.05702089,0.05398566,0.0,0.0,0.03997382,0.02463471,0.00850586
IBM-2019,IBM,IBM,Technology,2019,0001104659-19-013856,f82522360872bf97296b2d24964452ce51cca64d6240f86c47307fd33317c7fb,nmf_topic_2,0.16988628,0.06475052,0.16988628,0.00988543,0.0,0.0,0.00808371,0.01697084,0.0
IBM-2020,IBM,IBM,Technology,2020,0001193125-20-067199,0852160de6a70063b9bbc92b68d01ac9dc9dbe3d532019713b954f464d5c49a4,nmf_topic_2,0.20552261,0.03011773,0.20552261,0.00993655,0.0,0.0,0.0,0.0,0.0
IBM-2021,IBM,IBM,Technology,2021,0001193125-21-073223,2950daa3d39be2c04cbed08086e8f384061f19cb6e36f8b66a616b871029ceaa,nmf_topic_2,0.2452163,0.01122322,0.2452163,0.0033417,0.0,0.0,0.0,0.0,0.0
IBM-2022,IBM,IBM,Technology,2022,0001104659-22-031075,18d32c89b66ccac51312c8de0d45d53b186f2a313ffca806b87eda9ea4f3ecde,nmf_topic_2,0.20902738,0.0,0.20902738,0.0,0.01449708,0.0,0.0,0.00839626,0.0
IBM-2023,IBM,IBM,Technology,2023,0001104659-23-029014,373f591e9bd6594b1b87c81ff672f8fee51fff67bf5434a3c546dc900e18535d,nmf_topic_2,0.21250328,0.0,0.21250328,0.0,0.00973612,0.0,0.0,0.01318892,0.0
IBM-2024,IBM,IBM,Technology,2024,0001104659-24-032641,a7538445538bb033967681922ca2504e8905dc6b28a5d45e40724f168442fbde,nmf_topic_2,0.18244111,0.0008196,0.18244111,0.0,0.0284848,0.0,0.0,0.01613004,0.0
