doc_id,ticker,company_name,sector,year,accession_number,clean_text_sha256,spacy_model,spacy_model_version,representative_text_sha256,token_count,sentence_count,entity_count,org_entity_count,person_entity_count,money_entity_count,percent_entity_count,noun_rate,verb_rate,proper_noun_rate,modal_count
AVGO-2022,AVGO,Broadcom,Technology,2022,0001730168-22-000012,dcf6a5ba2c36a6b514dd41a0c78c7c98019980c7e52dc49df68b314d6b309168,en_core_web_sm,3.8.0,cf9e8185f0af20c37ca8230934c66c36ad8a5752cf34709c4ff35620c785ff58,1685,57,141,28,18,0,1,0.15905045,0.07418398,0.21068249,8
AVGO-2023,AVGO,Broadcom,Technology,2023,0001140361-23-007640,a8920e6e345901425d46371d8c7337b122388d7220a1b8f4f9da17dab01c845f,en_core_web_sm,3.8.0,d623ab9712fd5003f03c3dec5c5a0965ae18cc85084388f54ceef5c3b23ab956,1618,51,146,28,18,4,5,0.17490729,0.07045735,0.21631644,6
AVGO-2024,AVGO,Broadcom,Technology,2024,0001140361-24-009541,56c04f0dab327620b0fa42328e8c2f68464143a3839a57e31d008851f04a6f42,en_core_web_sm,3.8.0,7d3927b5b32359bab46a5bc60d06ccc6aa7fbc5417e300f87678141b3480ba9a,1631,56,143,32,20,2,1,0.17473942,0.0766401,0.22501533,9
CRM-2016,CRM,Salesforce,Technology,2016,0001193125-16-550325,42003c02bcd44389a66f82099dc7cd3bb27d1529e521bd709f9094a75e1bde95,en_core_web_sm,3.8.0,2c8382837945d6f3f0ebc196ce870825aee96c0a9bff66988a06bf84e08c56f7,1663,66,147,31,17,0,0,0.13349369,0.08538785,0.21587492,17
CRM-2017,CRM,Salesforce,Technology,2017,0001193125-17-139646,5aa1ca6b949fa0cc9a328fcc5234fa79a69c06c2e9f03d460919adb30da510a3,en_core_web_sm,3.8.0,0127b93bbc80de53e7634be44ec922a38fbe93063d67717b7d7c33f55eaf327e,1648,64,148,28,14,0,0,0.13774272,0.08434466,0.2184466,18
CRM-2018,CRM,Salesforce,Technology,2018,0001193125-18-148743,4f54021ff8ea5078d0ef44546b9cb6a60086c8a28a29a990218dd5d75a7eb5c1,en_core_web_sm,3.8.0,0ef2805ceed7cba86a777980ad7957360132e4c18173d6ec9ceed0fafbc5dd6c,1656,65,148,29,17,0,1,0.13949275,0.08574879,0.21014493,18
CRM-2019,CRM,Salesforce,Technology,2019,0001193125-19-119702,7b0c70e5f9af2fa06f9a4998c0e9685eb7103b7a987b904389555e1fb0f142f8,en_core_web_sm,3.8.0,ed9d9fba569d3d80cdd8ae90484441b34b549ad161d5a102e5dbf94b5fe9df17,1635,61,142,31,18,0,0,0.1382263,0.08379205,0.22262997,18
CRM-2020,CRM,Salesforce,Technology,2020,0001193125-20-131040,e7ba481f9239017135080fcd3aaaf5be11db58ab1b12fc79d70da059858b55e5,en_core_web_sm,3.8.0,5c360be8413fb8f6b8103741d20bd62eee88781c70194bb4be876c4107eaa166,1639,66,126,28,16,0,0,0.14704088,0.08785845,0.18669921,20
CRM-2021,CRM,Salesforce,Technology,2021,0001193125-21-140350,8a5c0d2c0fbfad6eb29351912e1ac887e506e4ff88a678fe0a13fb697f3719bc,en_core_web_sm,3.8.0,accad2a03a399b15cb81dc49f874f0e3178c2a963d20b5dc070f749eeb9226a0,1632,65,125,31,15,0,0,0.13541667,0.0870098,0.1942402,20
CRM-2022,CRM,Salesforce,Technology,2022,0001193125-22-127612,e42376913e8d9cfc319bf67f31073b300f3422009a8dc68e5a91c0e41c6b59b3,en_core_web_sm,3.8.0,38e2675686ae81f024ef7205312af40f6ebcdcebd05412afe451b0db165996d6,1591,63,149,38,19,0,1,0.13513514,0.07730987,0.23570082,22
CRM-2023,CRM,Salesforce,Technology,2023,0001193125-23-122123,1d03a50433ff589177d5fab8a0a16679d8fa71ecf23df8acc31e200e480856f4,en_core_web_sm,3.8.0,2b854ca44ed2b1338e9fca8664c271e1152ceafcdcb652342034eece8d48a5f6,1560,46,102,47,12,0,1,0.17051282,0.09294872,0.15576923,15
CRM-2024,CRM,Salesforce,Technology,2024,0001193125-24-140549,0c022549799ccc1af41075eb9f0451ae5cb5d1a396923db7047eee3bc0fe7f70,en_core_web_sm,3.8.0,59fb04b012caf124eea7abcbd6f23a0d873b6bcb112983b700f6fcde03cec5d1,1565,47,105,35,9,3,1,0.18530351,0.09648562,0.14121406,10
ORCL-2016,ORCL,Oracle,Technology,2016,0001193125-16-718528,1796bdc4ceab470834400c982b5669452205c5849c9bcb2392d77ad440bb2f09,en_core_web_sm,3.8.0,b5e7bd325114e10c349d0b3e508362d2050a14f327745dd3458f1379459cf30e,1625,45,119,27,3,0,0,0.15507692,0.08307692,0.21292308,14
ORCL-2017,ORCL,Oracle,Technology,2017,0001193125-17-297858,1de31c4fb989faac25984eaf56ea46971c0436381601a1d2edc22724ddb0dc49,en_core_web_sm,3.8.0,13919a653246c0a8114aa7024f42d40a8f95d6883c2a6f8394f4062457168313,1638,49,121,30,2,0,0,0.15873016,0.08485958,0.20940171,14
ORCL-2018,ORCL,Oracle,Technology,2018,0001193125-18-283993,dab252d2c2af6f2cc2ed78340372528802e7721e99ef5c5f70f5eadf9d428afe,en_core_web_sm,3.8.0,9e6441f76ae69e639f1aaea3830191ce8eaf0071209a40497d82cf74e4523bbf,1625,47,123,27,2,0,0,0.15569231,0.08492308,0.22153846,14
ORCL-2019,ORCL,Oracle,Technology,2019,0001193125-19-257430,1b5811838edbdc0ccf294129635fd3ff45ce3c0a43e4474ed851dd57d333cb69,en_core_web_sm,3.8.0,c84970013a7859ca19570b77bce4865684af50a5f511c2c2c8eaa50153dec449,1629,49,124,28,2,0,0,0.15592388,0.08410068,0.2203806,14
ORCL-2020,ORCL,Oracle,Technology,2020,0001193125-20-249194,c2c9c34a010493c9e9c635fc89cbb0fd5bd65ca7d7c82786f03d1c929dbf9d24,en_core_web_sm,3.8.0,0cccf326306f95694c80bbb67e92bb63bc6666490f9e633986b70cc1aeb94b81,1614,51,102,27,2,1,0,0.16542751,0.09665428,0.16604709,18
ORCL-2021,ORCL,Oracle,Technology,2021,0001193125-21-282422,dd62224a90f74a48d3f0b3aeb504d50cb4e0f52f18546bdfcefe7ca5da16e2ed,en_core_web_sm,3.8.0,4475f6a3736dfba562d8a0305828269998246e23a263bc9b36e907fa8975690a,1611,50,111,25,2,0,0,0.15518312,0.0937306,0.18497827,18
