doc_id_a,doc_id_b,ticker_a,ticker_b,year_a,year_b,sector_a,sector_b,same_ticker,same_sector,cosine_similarity
CRM-2019,CRM-2021,CRM,CRM,2019,2021,Technology,Technology,True,True,0.99586505
NVDA-2019,NVDA-2020,NVDA,NVDA,2019,2020,Technology,Technology,True,True,0.99582613
WFC-2018,WFC-2019,WFC,WFC,2018,2019,Financials,Financials,True,True,0.99578285
XOM-2017,XOM-2020,XOM,XOM,2017,2020,Energy,Energy,True,True,0.9956876
CVX-2017,CVX-2020,CVX,CVX,2017,2020,Energy,Energy,True,True,0.99560404
SCHW-2020,SCHW-2021,SCHW,SCHW,2020,2021,Financials,Financials,True,True,0.99560142
MCD-2017,MCD-2018,MCD,MCD,2017,2018,Consumer Discretionary,Consumer Discretionary,True,True,0.99559361
CVX-2019,CVX-2020,CVX,CVX,2019,2020,Energy,Energy,True,True,0.99559158
HD-2019,HD-2021,HD,HD,2019,2021,Consumer Discretionary,Consumer Discretionary,True,True,0.99555457
WFC-2019,WFC-2020,WFC,WFC,2019,2020,Financials,Financials,True,True,0.99553263
MCD-2017,MCD-2021,MCD,MCD,2017,2021,Consumer Discretionary,Consumer Discretionary,True,True,0.995529
SLB-2018,SLB-2019,SLB,SLB,2018,2019,Energy,Energy,True,True,0.99550045
WFC-2017,WFC-2019,WFC,WFC,2017,2019,Financials,Financials,True,True,0.99545562
SLB-2018,SLB-2021,SLB,SLB,2018,2021,Energy,Energy,True,True,0.99543864
BAC-2019,BAC-2020,BAC,BAC,2019,2020,Financials,Financials,True,True,0.99542117
SCHW-2018,SCHW-2020,SCHW,SCHW,2018,2020,Financials,Financials,True,True,0.99535334
CRM-2017,CRM-2019,CRM,CRM,2017,2019,Technology,Technology,True,True,0.99535227
SLB-2018,SLB-2020,SLB,SLB,2018,2020,Energy,Energy,True,True,0.99533558
BAC-2019,BAC-2021,BAC,BAC,2019,2021,Financials,Financials,True,True,0.9953289
SLB-2017,SLB-2019,SLB,SLB,2017,2019,Energy,Energy,True,True,0.99530888
CVX-2023,CVX-2024,CVX,CVX,2023,2024,Energy,Energy,True,True,0.99528921
BAC-2017,BAC-2019,BAC,BAC,2017,2019,Financials,Financials,True,True,0.99524981
INTC-2017,INTC-2018,INTC,INTC,2017,2018,Technology,Technology,True,True,0.99522161
CVX-2018,CVX-2020,CVX,CVX,2018,2020,Energy,Energy,True,True,0.9950701
ORCL-2018,ORCL-2019,ORCL,ORCL,2018,2019,Technology,Technology,True,True,0.99506688
SLB-2017,SLB-2022,SLB,SLB,2017,2022,Energy,Energy,True,True,0.9949863
NVDA-2016,NVDA-2019,NVDA,NVDA,2016,2019,Technology,Technology,True,True,0.99493134
WFC-2019,WFC-2021,WFC,WFC,2019,2021,Financials,Financials,True,True,0.99491215
SLB-2018,SLB-2022,SLB,SLB,2018,2022,Energy,Energy,True,True,0.99477333
AAPL-2021,AAPL-2022,AAPL,AAPL,2021,2022,Technology,Technology,True,True,0.99474937
BAC-2017,BAC-2018,BAC,BAC,2017,2018,Financials,Financials,True,True,0.99473786
AMZN-2020,AMZN-2021,AMZN,AMZN,2020,2021,Consumer Discretionary,Consumer Discretionary,True,True,0.99471331
META-2020,META-2021,META,META,2020,2021,Technology,Technology,True,True,0.99469995
SLB-2017,SLB-2021,SLB,SLB,2017,2021,Energy,Energy,True,True,0.99469584
